yearID,lgID,single,double,triple,hr,at_bats,slugging,dh_rule
1951,NL,11088,1746,367,1024,42704,0.4631182090670663,No
1966,AL,13005,2021,408,1365,54082,0.43879664213601566,No
1991,NL,16363,2819,441,1430,65365,0.4443356536372676,No
1954,NL,11142,1816,403,1114,42027,0.48633021628952816,No
2013,NL,20768,4039,424,2157,82690,0.4685693554238723,No
1975,AL,16861,2662,429,1465,65371,0.44870049410288965,Yes
2003,AL,20931,4170,443,2499,78311,0.5183946061217454,Yes
1995,NL,18184,3367,418,1917,69049,0.49008674998913815,No
1980,NL,17186,2856,523,1243,66272,0.4442147513278609,No
1956,NL,10716,1659,372,1219,41849,0.4785299529259958,No
1963,NL,13434,1984,439,1215,54803,0.4302501687863803,No
1952,AL,10690,1716,339,794,42317,0.4328047829477515,No
1958,NL,11026,1769,365,1183,42143,0.4838525971098403,No
2015,NL,20947,4076,480,2275,82652,0.47958912065043796,No
2023,AL,20314,4130,342,2925,82324,0.5016763033866187,Yes
1969,NL,16461,2455,471,1470,65751,0.43594774223966176,No
2004,AL,21251,4232,404,2605,78731,0.5251679770357293,Yes
2022,NL,19836,3984,348,2658,81649,0.48353317248221045,Yes
1989,AL,20078,3404,457,1718,77004,0.45619708067113396,Yes
1950,AL,11474,1829,423,973,42407,0.47852948805621714,No
2014,NL,20562,4005,459,2025,82491,0.46125031821653273,No
1950,NL,11085,1885,370,1100,42416,0.48012542436816297,No
1997,NL,20300,3907,485,2163,77203,0.49507143504786083,No
1979,NL,17229,2886,518,1427,66088,0.45791974337247304,No
2024,AL,19551,3808,337,2714,81560,0.4785924472780775,Yes
2007,NL,23796,4898,505,2705,89489,0.5132139145593313,No
2017,AL,21230,4194,334,3170,83034,0.521473131488306,Yes
1971,AL,15957,2426,351,1484,64641,0.43003666403675683,No
1960,AL,10689,1720,274,1086,41838,0.4611836129834122,No
2014,AL,21033,4132,390,2161,83123,0.47051959144881683,Yes
1957,NL,11162,1733,365,1178,42919,0.4761294531559449,No
1981,NL,11141,1881,354,719,43654,0.43159847894809183,No
1989,NL,16215,2903,411,1365,65817,0.4362702645213243,No
